anc,census_tract,coords,district,method,objectid,offense,report_time,shift,ward
2B,5301.0,"[-77.037509358, 38.911133373]",SECOND,OTHERS,190584,MOTOR VEHICLE THEFT,2016-05-07T13:28:23.000Z,DAY,2
4C,2502.0,"[-77.025113346, 38.9402786044]",FOURTH,OTHERS,190585,THEFT F/AUTO,2016-05-07T13:45:51.000Z,DAY,4
5D,8803.0,"[-76.9975579843, 38.909409767]",FIFTH,OTHERS,190586,THEFT F/AUTO,2016-05-07T13:54:05.000Z,DAY,5
1C,4002.0,"[-77.0416522873, 38.9174017727]",THIRD,OTHERS,190587,MOTOR VEHICLE THEFT,2016-05-07T14:31:14.000Z,DAY,1
8E,7403.0,"[-76.9739894719, 38.8510325199]",SEVENTH,OTHERS,190588,SEX ABUSE,2016-05-07T15:09:48.000Z,EVENING,8
6C,10600.0,"[-76.9961748196, 38.9019237902]",FIRST,OTHERS,190589,THEFT F/AUTO,2016-05-07T15:16:05.000Z,EVENING,6
1B,3200.0,"[-77.0218337091, 38.9279378867]",THIRD,OTHERS,190590,THEFT F/AUTO,2016-05-07T15:20:13.000Z,EVENING,1
6A,8002.0,"[-76.9822164038, 38.8914727952]",FIRST,GUN,190591,ROBBERY,2016-05-07T15:32:14.000Z,EVENING,6
7F,7803.0,"[-76.947655197, 38.8966602514]",SIXTH,GUN,190592,ROBBERY,2016-05-07T15:36:33.000Z,EVENING,7
5D,8803.0,"[-76.9975579843, 38.909409767]",FIFTH,OTHERS,190593,THEFT F/AUTO,2016-05-07T15:48:47.000Z,EVENING,5
3C,1002.0,"[-77.0767799079, 38.9426883241]",SECOND,OTHERS,190594,ASSAULT W/DANGEROUS WEAPON,2016-05-07T16:12:13.000Z,EVENING,3
7F,7703.0,"[-76.954486706, 38.88547471]",SIXTH,OTHERS,190595,THEFT F/AUTO,2016-05-07T16:18:20.000Z,EVENING,7
5B,9504.0,"[-76.991443222, 38.942866369]",FOURTH,OTHERS,190596,ASSAULT W/DANGEROUS WEAPON,2016-05-07T16:27:19.000Z,EVENING,5
3E,1100.0,"[-77.0829332611, 38.9570253023]",SECOND,OTHERS,190597,THEFT F/AUTO,2016-05-07T16:46:31.000Z,EVENING,3
7B,7603.0,"[-76.9512854542, 38.8642946676]",SIXTH,OTHERS,190598,THEFT/OTHER,2016-05-07T16:48:17.000Z,EVENING,7
2B,10700.0,"[-77.037528123, 38.9025328251]",SECOND,OTHERS,190599,THEFT/OTHER,2016-05-07T16:50:17.000Z,EVENING,2
3E,1100.0,"[-77.082902138, 38.9600250766]",SECOND,OTHERS,190600,THEFT F/AUTO,2016-05-07T16:51:01.000Z,EVENING,3
4D,2102.0,"[-77.0120466455, 38.9528472353]",FOURTH,OTHERS,190601,ROBBERY,2016-05-07T17:04:49.000Z,EVENING,4
2C,5800.0,"[-77.027046194, 38.8967409135]",FIRST,OTHERS,190602,THEFT F/AUTO,2016-05-07T17:07:39.000Z,EVENING,2
6C,6202.0,"[-77.0083944804, 38.8972031698]",FIRST,OTHERS,190603,MOTOR VEHICLE THEFT,2016-05-07T17:10:34.000Z,EVENING,6
5D,8803.0,"[-76.9995641605, 38.9084819321]",FIFTH,OTHERS,190604,ROBBERY,2016-05-07T17:18:56.000Z,EVENING,5
2B,10700.0,"[-77.0408611901, 38.905204756]",SECOND,OTHERS,190605,THEFT/OTHER,2016-05-07T17:23:38.000Z,EVENING,2
1B,4300.0,"[-77.0332931397, 38.919188103]",THIRD,OTHERS,190606,MOTOR VEHICLE THEFT,2016-05-07T17:24:42.000Z,EVENING,1
3C,501.0,"[-77.0519083025, 38.924198954]",SECOND,OTHERS,190607,MOTOR VEHICLE THEFT,2016-05-07T17:36:44.000Z,EVENING,3
3E,1100.0,"[-77.0792196087, 38.9479024948]",SECOND,OTHERS,190608,THEFT F/AUTO,2016-05-07T17:45:32.000Z,EVENING,3
1A,3200.0,"[-77.0224112111, 38.9306943208]",THIRD,OTHERS,190609,THEFT/OTHER,2016-05-07T17:46:21.000Z,EVENING,1
6A,8402.0,"[-76.9908949834, 38.9002029016]",FIRST,OTHERS,190610,THEFT/OTHER,2016-05-07T17:50:49.000Z,EVENING,6
2F,5201.0,"[-77.0319625831, 38.9092432698]",SECOND,OTHERS,190611,THEFT/OTHER,2016-05-07T17:51:12.000Z,EVENING,2
3G,1100.0,"[-77.0771495138, 38.9644520685]",SECOND,GUN,190612,ASSAULT W/DANGEROUS WEAPON,2016-05-07T18:19:55.000Z,EVENING,3
3G,1100.0,"[-77.0739612937, 38.9610219829]",SECOND,OTHERS,190613,THEFT F/AUTO,2016-05-07T18:38:37.000Z,EVENING,3
7B,7708.0,"[-76.9602843525, 38.8852155821]",SIXTH,OTHERS,190614,THEFT/OTHER,2016-05-07T18:48:17.000Z,EVENING,7
8A,7503.0,"[-76.9894938933, 38.863844927]",SEVENTH,OTHERS,190615,THEFT F/AUTO,2016-05-07T19:09:24.000Z,EVENING,8
4B,10300.0,"[-77.0239845698, 38.9793927019]",FOURTH,OTHERS,190616,THEFT F/AUTO,2016-05-07T19:29:15.000Z,EVENING,4
1A,2900.0,"[-77.0273600971, 38.9337200583]",FOURTH,OTHERS,190617,THEFT F/AUTO,2016-05-07T19:33:02.000Z,EVENING,1
1C,3800.0,"[-77.0376996092, 38.9220514125]",THIRD,OTHERS,190618,THEFT/OTHER,2016-05-07T19:35:36.000Z,EVENING,1
2C,5800.0,"[-77.018931232, 38.8986883173]",FIRST,OTHERS,190619,ASSAULT W/DANGEROUS WEAPON,2016-05-07T19:40:03.000Z,EVENING,2
5E,3301.0,"[-77.0135047484, 38.9155707163]",FIFTH,OTHERS,190620,THEFT F/AUTO,2016-05-07T20:05:24.000Z,EVENING,5
2B,4202.0,"[-77.0434475296, 38.9115006578]",SECOND,OTHERS,190621,THEFT/OTHER,2016-05-07T20:22:48.000Z,EVENING,2
7E,9905.0,"[-76.9256297562, 38.881847537]",SIXTH,OTHERS,190622,THEFT/OTHER,2016-05-07T20:42:49.000Z,EVENING,7
2C,5900.0,"[-77.0172024778, 38.9005262903]",FIRST,OTHERS,190623,ASSAULT W/DANGEROUS WEAPON,2016-05-07T20:54:51.000Z,EVENING,2
1B,4300.0,"[-77.0319547787, 38.9175579688]",THIRD,KNIFE,190624,ASSAULT W/DANGEROUS WEAPON,2016-05-07T20:59:08.000Z,EVENING,1
7B,7708.0,"[-76.9586587547, 38.8860077558]",SIXTH,KNIFE,190625,ROBBERY,2016-05-07T21:16:20.000Z,EVENING,7
4C,2502.0,"[-77.0253905576, 38.941341523]",FOURTH,OTHERS,190626,THEFT/OTHER,2016-05-07T21:18:31.000Z,EVENING,4
2B,4201.0,"[-77.0400715118, 38.9155736337]",THIRD,OTHERS,190627,THEFT/OTHER,2016-05-07T21:39:22.000Z,EVENING,2
6C,8302.0,"[-76.9961751484, 38.8957890955]",FIRST,OTHERS,190628,MOTOR VEHICLE THEFT,2016-05-07T21:52:21.000Z,EVENING,6
2F,10100.0,"[-77.0296315275, 38.9042892919]",THIRD,OTHERS,190629,THEFT F/AUTO,2016-05-07T21:59:25.000Z,EVENING,2
5D,8802.0,"[-76.9838732929, 38.9046252465]",FIFTH,OTHERS,190630,THEFT/OTHER,2016-05-07T22:25:21.000Z,EVENING,5
8C,7304.0,"[-76.9920427888, 38.841819509]",SEVENTH,OTHERS,190631,ROBBERY,2016-05-07T22:32:50.000Z,EVENING,8
4A,1804.0,"[-77.0276607861, 38.9655462306]",FOURTH,OTHERS,190632,THEFT/OTHER,2016-05-07T22:47:04.000Z,EVENING,4
7C,7806.0,"[-76.9346105522, 38.9041486353]",SIXTH,OTHERS,190633,ASSAULT W/DANGEROUS WEAPON,2016-05-07T22:51:43.000Z,EVENING,7
2C,5800.0,"[-77.027046194, 38.8967409135]",FIRST,OTHERS,190634,THEFT F/AUTO,2016-05-07T22:51:57.000Z,EVENING,2
4B,1702.0,"[-77.0161473503, 38.9756286077]",FOURTH,OTHERS,190635,THEFT/OTHER,2016-05-07T23:12:48.000Z,MIDNIGHT,4
7B,7709.0,"[-76.9667314024, 38.8763713559]",SIXTH,GUN,190636,HOMICIDE,2016-05-08T00:00:00.000Z,MIDNIGHT,7
6D,10200.0,"[-77.0223023598, 38.8776711732]",FIRST,OTHERS,190637,THEFT/OTHER,2016-05-08T00:07:56.000Z,MIDNIGHT,6
8C,7401.0,"[-76.9975711688, 38.8607735033]",SEVENTH,OTHERS,190638,ROBBERY,2016-05-08T00:10:04.000Z,MIDNIGHT,8
5B,9302.0,"[-76.9904074685, 38.9249667885]",FIFTH,GUN,190639,ASSAULT W/DANGEROUS WEAPON,2016-05-08T00:31:04.000Z,MIDNIGHT,5
6C,8302.0,"[-76.994964807, 38.8951134221]",FIRST,OTHERS,190640,ROBBERY,2016-05-08T00:57:34.000Z,MIDNIGHT,6
6B,6802.0,"[-76.9781955516, 38.8849050053]",FIRST,OTHERS,190641,THEFT F/AUTO,2016-05-08T01:09:05.000Z,MIDNIGHT,6
7D,9601.0,"[-76.9386045238, 38.9117538493]",SIXTH,GUN,190642,ASSAULT W/DANGEROUS WEAPON,2016-05-08T01:09:16.000Z,MIDNIGHT,7
1A,2801.0,"[-77.0327456025, 38.9321782531]",FOURTH,OTHERS,190643,ROBBERY,2016-05-08T01:09:54.000Z,MIDNIGHT,1
1A,3000.0,"[-77.0312101109, 38.9286384072]",THIRD,OTHERS,190644,ROBBERY,2016-05-08T01:13:41.000Z,MIDNIGHT,1
7B,7603.0,"[-76.9625242287, 38.8559029649]",SIXTH,GUN,190645,ROBBERY,2016-05-08T01:18:55.000Z,MIDNIGHT,7
1D,2701.0,"[-77.0399315645, 38.9333470986]",FOURTH,OTHERS,190646,ROBBERY,2016-05-08T01:56:31.000Z,MIDNIGHT,1
5D,8803.0,"[-76.9800767612, 38.9171912989]",FIFTH,KNIFE,190647,ASSAULT W/DANGEROUS WEAPON,2016-05-08T01:57:07.000Z,MIDNIGHT,5
8C,7401.0,"[-76.9957854768, 38.8574493441]",SEVENTH,KNIFE,190648,ASSAULT W/DANGEROUS WEAPON,2016-05-08T02:21:41.000Z,MIDNIGHT,8
8E,7304.0,"[-76.983368253, 38.8455931347]",SEVENTH,GUN,190649,ASSAULT W/DANGEROUS WEAPON,2016-05-08T02:46:25.000Z,MIDNIGHT,8
2B,4201.0,"[-77.0372003646, 38.9155745831]",THIRD,KNIFE,190650,ASSAULT W/DANGEROUS WEAPON,2016-05-08T02:53:20.000Z,MIDNIGHT,2
2B,4300.0,"[-77.0319655829, 38.9159364659]",THIRD,OTHERS,190651,THEFT/OTHER,2016-05-08T03:01:48.000Z,MIDNIGHT,2
8B,7409.0,"[-76.97923289, 38.8452321346]",SEVENTH,OTHERS,190652,BURGLARY,2016-05-08T03:17:37.000Z,MIDNIGHT,8
8D,10900.0,"[-77.0055183108, 38.8227487328]",SEVENTH,GUN,190653,ROBBERY,2016-05-08T03:22:35.000Z,MIDNIGHT,8
1C,3800.0,"[-77.0408335085, 38.9172669367]",THIRD,OTHERS,190654,THEFT F/AUTO,2016-05-08T03:50:52.000Z,MIDNIGHT,1
2B,10700.0,"[-77.0425792852, 38.90565456]",SECOND,OTHERS,190655,THEFT/OTHER,2016-05-08T03:56:14.000Z,MIDNIGHT,2
1C,4001.0,"[-77.0446998497, 38.922787627]",THIRD,OTHERS,190656,MOTOR VEHICLE THEFT,2016-05-08T04:48:41.000Z,MIDNIGHT,1
4A,10300.0,"[-77.0267872846, 38.9747168231]",FOURTH,OTHERS,190657,THEFT/OTHER,2016-05-08T05:14:39.000Z,MIDNIGHT,4
5D,8803.0,"[-76.9888757387, 38.9117784573]",FIFTH,GUN,190658,ASSAULT W/DANGEROUS WEAPON,2016-05-08T05:35:58.000Z,MIDNIGHT,5
8E,7304.0,"[-76.9831262283, 38.8460885644]",SEVENTH,OTHERS,190659,THEFT/OTHER,2016-05-08T05:47:24.000Z,MIDNIGHT,8
8A,7503.0,"[-76.9900123237, 38.8643854774]",SEVENTH,KNIFE,190660,ASSAULT W/DANGEROUS WEAPON,2016-05-08T05:55:27.000Z,MIDNIGHT,8
7D,7803.0,"[-76.9358559187, 38.891051161]",SIXTH,OTHERS,190661,BURGLARY,2016-05-08T05:56:16.000Z,MIDNIGHT,7
5D,8804.0,"[-76.9835493151, 38.9096878933]",FIFTH,OTHERS,190662,ASSAULT W/DANGEROUS WEAPON,2016-05-08T06:07:22.000Z,MIDNIGHT,5
6A,7901.0,"[-76.9784217272, 38.8992553859]",FIFTH,OTHERS,190663,SEX ABUSE,2016-05-08T06:25:51.000Z,MIDNIGHT,6
5D,8802.0,"[-76.9886116251, 38.9050221719]",FIFTH,OTHERS,190664,MOTOR VEHICLE THEFT,2016-05-08T08:08:51.000Z,DAY,5
6C,6202.0,"[-77.0083944804, 38.8972031698]",FIRST,OTHERS,190665,BURGLARY,2016-05-08T10:08:09.000Z,DAY,6
