anc,census_tract,coords,district,method,objectid,offense,report_time,shift,ward
7C,7806.0,"[-76.9337678077, 38.9053732969]",SIXTH,GUN,191861,ROBBERY,2016-05-20T02:32:31.000Z,MIDNIGHT,7
2B,10700.0,"[-77.0425882378, 38.9013395544]",SECOND,OTHERS,191862,THEFT F/AUTO,2016-05-20T02:36:46.000Z,MIDNIGHT,2
6B,7100.0,"[-76.9892841731, 38.8792853142]",FIRST,GUN,191863,ASSAULT W/DANGEROUS WEAPON,2016-05-20T03:11:55.000Z,MIDNIGHT,6
4B,1702.0,"[-77.0190554496, 38.9752948654]",FOURTH,GUN,191864,ROBBERY,2016-05-20T03:34:05.000Z,MIDNIGHT,4
8D,10900.0,"[-77.0017526415, 38.821631799]",SEVENTH,OTHERS,191865,THEFT/OTHER,2016-05-20T03:50:10.000Z,MIDNIGHT,8
8A,7605.0,"[-76.9798945359, 38.8682307663]",SEVENTH,OTHERS,191866,BURGLARY,2016-05-20T03:50:38.000Z,MIDNIGHT,8
8A,7504.0,"[-76.9814979254, 38.8617359639]",SEVENTH,GUN,191867,ASSAULT W/DANGEROUS WEAPON,2016-05-20T04:12:35.000Z,MIDNIGHT,8
7D,9602.0,"[-76.9529053669, 38.9064185387]",SIXTH,OTHERS,191868,THEFT/OTHER,2016-05-20T04:29:07.000Z,MIDNIGHT,7
8C,7401.0,"[-76.9989307607, 38.8599357404]",SEVENTH,OTHERS,191869,THEFT/OTHER,2016-05-20T04:50:14.000Z,MIDNIGHT,8
5D,8802.0,"[-76.9886116251, 38.9050221719]",FIFTH,KNIFE,191870,ASSAULT W/DANGEROUS WEAPON,2016-05-20T05:09:44.000Z,MIDNIGHT,5
1B,4400.0,"[-77.0275727703, 38.9170005685]",THIRD,OTHERS,191871,THEFT/OTHER,2016-05-20T05:17:39.000Z,MIDNIGHT,1
1A,2900.0,"[-77.027255943, 38.9328012354]",FOURTH,OTHERS,191872,THEFT F/AUTO,2016-05-20T06:11:08.000Z,MIDNIGHT,1
5A,9508.0,"[-77.0012713857, 38.9560547928]",FOURTH,OTHERS,191873,THEFT/OTHER,2016-05-20T07:06:00.000Z,DAY,5
7E,9902.0,"[-76.9466740204, 38.8675897327]",SIXTH,OTHERS,191874,THEFT F/AUTO,2016-05-20T08:10:19.000Z,DAY,7
6E,4901.0,"[-77.0234658219, 38.9111280293]",THIRD,OTHERS,191875,THEFT F/AUTO,2016-05-20T08:31:41.000Z,DAY,6
2F,5201.0,"[-77.0332645051, 38.9072430533]",SECOND,OTHERS,191876,THEFT F/AUTO,2016-05-20T09:16:29.000Z,DAY,2
5E,8701.0,"[-77.0078080883, 38.9111121084]",FIFTH,OTHERS,191877,THEFT F/AUTO,2016-05-20T09:18:04.000Z,DAY,5
1B,4400.0,"[-77.0307908484, 38.9191887892]",THIRD,OTHERS,191878,THEFT F/AUTO,2016-05-20T09:26:48.000Z,DAY,1
6D,10200.0,"[-77.0176464754, 38.8778701543]",FIRST,OTHERS,191879,THEFT/OTHER,2016-05-20T09:31:44.000Z,DAY,6
2D,4100.0,"[-77.0465292449, 38.9163909991]",THIRD,OTHERS,191880,THEFT/OTHER,2016-05-20T09:38:59.000Z,DAY,2
5B,9400.0,"[-76.9741880784, 38.9389812587]",FIFTH,OTHERS,191881,BURGLARY,2016-05-20T09:39:16.000Z,DAY,5
3E,1100.0,"[-77.082902138, 38.9600250766]",SECOND,OTHERS,191882,MOTOR VEHICLE THEFT,2016-05-20T10:00:34.000Z,DAY,3
6C,8302.0,"[-76.9973162064, 38.9002032254]",FIRST,OTHERS,191883,THEFT/OTHER,2016-05-20T10:04:43.000Z,DAY,6
5E,3302.0,"[-77.0106100987, 38.9126072721]",FIFTH,OTHERS,191884,BURGLARY,2016-05-20T10:21:58.000Z,DAY,5
6E,4901.0,"[-77.0219214867, 38.9133533894]",THIRD,OTHERS,191885,THEFT F/AUTO,2016-05-20T10:57:03.000Z,DAY,6
4B,1901.0,"[-77.0259766537, 38.967005953]",FOURTH,OTHERS,191886,THEFT F/AUTO,2016-05-20T11:02:42.000Z,DAY,4
1C,4002.0,"[-77.0416873964, 38.9182845768]",THIRD,OTHERS,191887,THEFT F/AUTO,2016-05-20T11:08:09.000Z,DAY,1
6B,6900.0,"[-76.990251815, 38.8825464364]",FIRST,OTHERS,191888,THEFT/OTHER,2016-05-20T11:12:26.000Z,DAY,6
3C,400.0,"[-77.0728800657, 38.9304485378]",SECOND,OTHERS,191889,THEFT/OTHER,2016-05-20T11:13:51.000Z,DAY,3
5E,8702.0,"[-77.0005788519, 38.9194721031]",FIFTH,OTHERS,191890,BURGLARY,2016-05-20T11:34:46.000Z,DAY,5
1C,3900.0,"[-77.0413808279, 38.9265092859]",THIRD,OTHERS,191891,BURGLARY,2016-05-20T11:37:43.000Z,DAY,1
5C,11100.0,"[-76.9785537599, 38.9202268365]",FIFTH,OTHERS,191892,THEFT F/AUTO,2016-05-20T11:42:18.000Z,DAY,5
6B,6900.0,"[-76.990251815, 38.8825464364]",FIRST,OTHERS,191893,THEFT/OTHER,2016-05-20T12:05:03.000Z,DAY,6
2B,10700.0,"[-77.0425221176, 38.9064563241]",SECOND,OTHERS,191894,THEFT/OTHER,2016-05-20T12:22:43.000Z,DAY,2
5C,9000.0,"[-76.9526926847, 38.9199296115]",FIFTH,OTHERS,191895,THEFT/OTHER,2016-05-20T12:32:18.000Z,DAY,5
2B,10700.0,"[-77.0403072517, 38.9042410546]",SECOND,OTHERS,191896,THEFT/OTHER,2016-05-20T12:43:41.000Z,DAY,2
8C,9804.0,"[-76.9966388886, 38.8397297711]",SEVENTH,OTHERS,191897,BURGLARY,2016-05-20T13:00:09.000Z,DAY,8
7D,9601.0,"[-76.9358279599, 38.9093201041]",SIXTH,OTHERS,191898,BURGLARY,2016-05-20T13:37:50.000Z,DAY,7
6C,8302.0,"[-76.9973162064, 38.9002032254]",FIRST,OTHERS,191899,THEFT/OTHER,2016-05-20T13:40:54.000Z,DAY,6
1A,3200.0,"[-77.019966207, 38.9307848473]",THIRD,OTHERS,191900,THEFT F/AUTO,2016-05-20T13:46:39.000Z,DAY,1
3F,1200.0,"[-77.073372724, 38.9496899505]",SECOND,OTHERS,191901,THEFT F/AUTO,2016-05-20T13:48:17.000Z,DAY,3
5B,9302.0,"[-76.9924369244, 38.9270118255]",FIFTH,OTHERS,191902,THEFT/OTHER,2016-05-20T14:01:06.000Z,DAY,5
4A,2001.0,"[-77.0308553557, 38.9616718826]",FOURTH,OTHERS,191903,THEFT/OTHER,2016-05-20T14:05:36.000Z,DAY,4
2F,5201.0,"[-77.0332650387, 38.9083871133]",SECOND,OTHERS,191904,THEFT F/AUTO,2016-05-20T14:17:11.000Z,DAY,2
7D,7903.0,"[-76.9758741751, 38.8988044695]",FIFTH,OTHERS,191905,THEFT/OTHER,2016-05-20T14:36:43.000Z,DAY,7
8C,10400.0,"[-77.0007740877, 38.8462429246]",SEVENTH,GUN,191906,ASSAULT W/DANGEROUS WEAPON,2016-05-20T14:46:43.000Z,DAY,8
2C,5800.0,"[-77.0199112162, 38.8990665056]",FIRST,OTHERS,191907,THEFT F/AUTO,2016-05-20T15:06:09.000Z,EVENING,2
4C,2400.0,"[-77.0247292063, 38.9435058163]",FOURTH,OTHERS,191908,THEFT F/AUTO,2016-05-20T15:14:43.000Z,EVENING,4
5C,9102.0,"[-76.9903158638, 38.9201563364]",FIFTH,OTHERS,191909,THEFT/OTHER,2016-05-20T15:38:26.000Z,EVENING,5
8C,9804.0,"[-76.9997488621, 38.8430539372]",SEVENTH,OTHERS,191910,THEFT/OTHER,2016-05-20T15:45:59.000Z,EVENING,8
5D,8904.0,"[-76.9702362157, 38.9006408749]",FIFTH,OTHERS,191911,THEFT/OTHER,2016-05-20T16:03:32.000Z,EVENING,5
3F,1200.0,"[-77.0619678039, 38.9414990121]",SECOND,OTHERS,191912,THEFT F/AUTO,2016-05-20T16:09:13.000Z,EVENING,3
5B,9400.0,"[-76.9731848312, 38.9383054106]",FIFTH,OTHERS,191913,THEFT F/AUTO,2016-05-20T16:10:30.000Z,EVENING,5
7D,9601.0,"[-76.9355272839, 38.9103198651]",SIXTH,OTHERS,191914,THEFT/OTHER,2016-05-20T16:10:44.000Z,EVENING,7
3E,1200.0,"[-77.0770470454, 38.944381707]",SECOND,OTHERS,191915,THEFT F/AUTO,2016-05-20T16:20:38.000Z,EVENING,3
2C,5800.0,"[-77.0219278983, 38.896705953]",FIRST,OTHERS,191916,THEFT F/AUTO,2016-05-20T16:21:36.000Z,EVENING,2
3G,1500.0,"[-77.0626013028, 38.9667218334]",SECOND,OTHERS,191917,THEFT/OTHER,2016-05-20T16:21:42.000Z,EVENING,4
4C,2502.0,"[-77.0245935507, 38.9381527572]",FOURTH,OTHERS,191918,ROBBERY,2016-05-20T16:33:58.000Z,EVENING,4
1D,2701.0,"[-77.0364612543, 38.9358885744]",FOURTH,OTHERS,191919,THEFT F/AUTO,2016-05-20T16:35:23.000Z,EVENING,1
1A,3200.0,"[-77.0225036669, 38.9312978598]",THIRD,OTHERS,191920,THEFT/OTHER,2016-05-20T17:32:06.000Z,EVENING,1
4D,2201.0,"[-77.0224738717, 38.9465399018]",FOURTH,OTHERS,191921,THEFT F/AUTO,2016-05-20T17:32:06.000Z,EVENING,4
3F,1302.0,"[-77.0526465639, 38.9400982882]",SECOND,OTHERS,191922,THEFT F/AUTO,2016-05-20T17:45:07.000Z,EVENING,3
2B,10700.0,"[-77.037528123, 38.9025328251]",SECOND,OTHERS,191923,THEFT/OTHER,2016-05-20T17:48:53.000Z,EVENING,2
2A,10800.0,"[-77.047741009, 38.9006979687]",SECOND,OTHERS,191924,THEFT F/AUTO,2016-05-20T17:52:46.000Z,EVENING,2
3B,300.0,"[-77.0765470306, 38.9191767821]",SECOND,OTHERS,191925,THEFT/OTHER,2016-05-20T18:01:29.000Z,EVENING,3
2E,100.0,"[-77.0596765886, 38.9052146767]",SECOND,OTHERS,191926,THEFT/OTHER,2016-05-20T18:01:57.000Z,EVENING,2
6A,8402.0,"[-76.9926590164, 38.8981220942]",FIRST,OTHERS,191290,THEFT/OTHER,2016-05-14T16:24:06.000Z,EVENING,6
3D,901.0,"[-77.0913725509, 38.9342640753]",SECOND,OTHERS,191291,THEFT F/AUTO,2016-05-14T16:26:02.000Z,EVENING,3
7B,7603.0,"[-76.9492815442, 38.8628975095]",SIXTH,OTHERS,191292,THEFT/OTHER,2016-05-14T16:42:34.000Z,EVENING,7
8E,7404.0,"[-76.9804418666, 38.8472592431]",SEVENTH,OTHERS,191293,ROBBERY,2016-05-14T16:56:07.000Z,EVENING,8
5C,9102.0,"[-76.9931524033, 38.9222194435]",FIFTH,OTHERS,191294,THEFT/OTHER,2016-05-14T16:59:06.000Z,EVENING,5
1B,3500.0,"[-77.0235162163, 38.9240910086]",THIRD,OTHERS,191295,THEFT F/AUTO,2016-05-14T17:00:07.000Z,EVENING,1
5C,11100.0,"[-76.9590650948, 38.9210774262]",FIFTH,OTHERS,191296,MOTOR VEHICLE THEFT,2016-05-14T17:10:25.000Z,EVENING,5
5C,11100.0,"[-76.9601099508, 38.9291582503]",FIFTH,OTHERS,191297,MOTOR VEHICLE THEFT,2016-05-14T17:17:56.000Z,EVENING,5
6C,8301.0,"[-76.9984575543, 38.8977349549]",FIRST,OTHERS,191298,THEFT/OTHER,2016-05-14T17:31:41.000Z,EVENING,6
3C,400.0,"[-77.0669492957, 38.9275243834]",SECOND,OTHERS,191299,THEFT F/AUTO,2016-05-14T17:37:08.000Z,EVENING,3
3C,501.0,"[-77.0543409519, 38.9233780908]",SECOND,OTHERS,191300,THEFT F/AUTO,2016-05-14T18:12:44.000Z,EVENING,3
4B,1901.0,"[-77.0259764402, 38.966420417]",FOURTH,KNIFE,191301,ASSAULT W/DANGEROUS WEAPON,2016-05-14T18:29:30.000Z,EVENING,4
6B,7000.0,"[-76.9961874925, 38.8805018764]",FIRST,OTHERS,191302,MOTOR VEHICLE THEFT,2016-05-14T18:34:36.000Z,EVENING,6
8A,7504.0,"[-76.9812553007, 38.8642582823]",SEVENTH,OTHERS,191303,MOTOR VEHICLE THEFT,2016-05-14T18:45:47.000Z,EVENING,8
8E,9801.0,"[-76.9941973674, 38.8348921344]",SEVENTH,OTHERS,191304,THEFT/OTHER,2016-05-14T18:50:19.000Z,EVENING,8
7B,9902.0,"[-76.9491178766, 38.8662035274]",SIXTH,OTHERS,191305,MOTOR VEHICLE THEFT,2016-05-14T19:11:19.000Z,EVENING,7
1A,3100.0,"[-77.024995829, 38.9340899283]",FOURTH,OTHERS,191306,THEFT F/AUTO,2016-05-14T19:22:17.000Z,EVENING,1
6E,4702.0,"[-77.0169259893, 38.9013280747]",FIRST,OTHERS,191307,THEFT F/AUTO,2016-05-14T19:24:13.000Z,EVENING,6
6D,10200.0,"[-77.0300395258, 38.887569658]",FIRST,OTHERS,191308,THEFT F/AUTO,2016-05-14T19:57:15.000Z,EVENING,6
1A,2801.0,"[-77.0327355705, 38.9354482705]",FOURTH,OTHERS,191309,ROBBERY,2016-05-14T20:00:01.000Z,EVENING,1
1A,3100.0,"[-77.0236109668, 38.9316219404]",THIRD,OTHERS,191310,THEFT/OTHER,2016-05-14T20:03:59.000Z,EVENING,1
2F,5002.0,"[-77.0270492923, 38.9049114947]",THIRD,OTHERS,191311,THEFT F/AUTO,2016-05-14T20:06:36.000Z,EVENING,2
3C,400.0,"[-77.0675137639, 38.9268574432]",SECOND,OTHERS,191312,THEFT F/AUTO,2016-05-14T20:11:17.000Z,EVENING,3
8E,7404.0,"[-76.984841456, 38.8516289899]",SEVENTH,GUN,191313,ASSAULT W/DANGEROUS WEAPON,2016-05-14T20:21:18.000Z,EVENING,8
8C,7401.0,"[-76.9967878226, 38.8576565697]",SEVENTH,OTHERS,191314,MOTOR VEHICLE THEFT,2016-05-14T20:23:25.000Z,EVENING,8
2F,4902.0,"[-77.0240171683, 38.9049121575]",THIRD,OTHERS,191315,THEFT F/AUTO,2016-05-14T20:27:37.000Z,EVENING,2
6C,8302.0,"[-76.9973163598, 38.8961224369]",FIRST,OTHERS,191316,THEFT F/AUTO,2016-05-14T20:39:42.000Z,EVENING,6
8A,7605.0,"[-76.9754123189, 38.8674912189]",SEVENTH,OTHERS,191317,MOTOR VEHICLE THEFT,2016-05-14T20:43:10.000Z,EVENING,8
2F,5201.0,"[-77.0332656311, 38.90965729]",SECOND,OTHERS,191318,THEFT/OTHER,2016-05-14T20:45:12.000Z,EVENING,2
2C,6202.0,"[-77.0229528602, 38.893597869]",FIRST,OTHERS,191319,THEFT/OTHER,2016-05-14T21:00:02.000Z,EVENING,2
2C,5800.0,"[-77.0219174889, 38.9003453336]",FIRST,OTHERS,191320,THEFT/OTHER,2016-05-14T21:29:25.000Z,EVENING,2
6B,6900.0,"[-76.9855146975, 38.8834738089]",FIRST,OTHERS,191321,THEFT/OTHER,2016-05-14T21:36:47.000Z,EVENING,6
2C,5800.0,"[-77.0249602377, 38.8983178417]",FIRST,OTHERS,191927,THEFT/OTHER,2016-05-20T18:03:09.000Z,EVENING,2
3C,1302.0,"[-77.0580828365, 38.9348320736]",SECOND,OTHERS,191928,THEFT/OTHER,2016-05-20T18:04:02.000Z,EVENING,3
7F,7803.0,"[-76.9445990327, 38.89837944]",SIXTH,OTHERS,191929,THEFT F/AUTO,2016-05-20T18:06:46.000Z,EVENING,7
2A,5600.0,"[-77.0501245452, 38.8966792401]",SECOND,OTHERS,191930,THEFT/OTHER,2016-05-20T18:09:35.000Z,EVENING,2
3F,1302.0,"[-77.0526465639, 38.9400982882]",SECOND,OTHERS,191931,THEFT F/AUTO,2016-05-20T18:12:49.000Z,EVENING,3
5D,8803.0,"[-76.9975579843, 38.909409767]",FIFTH,OTHERS,191932,THEFT F/AUTO,2016-05-20T18:21:00.000Z,EVENING,5
1D,2702.0,"[-77.0433774594, 38.9289948569]",FOURTH,OTHERS,191933,THEFT F/AUTO,2016-05-20T18:34:25.000Z,EVENING,1
1B,4400.0,"[-77.0239748738, 38.9162806954]",THIRD,OTHERS,191934,ASSAULT W/DANGEROUS WEAPON,2016-05-20T18:35:18.000Z,EVENING,1
8C,7401.0,"[-76.9975711688, 38.8607735033]",SEVENTH,OTHERS,191935,ASSAULT W/DANGEROUS WEAPON,2016-05-20T18:47:38.000Z,EVENING,8
2B,5500.0,"[-77.0436195217, 38.9099331419]",SECOND,OTHERS,191936,THEFT/OTHER,2016-05-20T19:03:17.000Z,EVENING,2
3F,1200.0,"[-77.0659536958, 38.948361146]",SECOND,OTHERS,191937,THEFT/OTHER,2016-05-20T19:04:31.000Z,EVENING,3
6D,11000.0,"[-77.0181757887, 38.874654075]",FIRST,OTHERS,191938,THEFT/OTHER,2016-05-20T19:05:36.000Z,EVENING,6
8A,7503.0,"[-76.9860941931, 38.8669524747]",SIXTH,OTHERS,191939,THEFT/OTHER,2016-05-20T19:05:37.000Z,EVENING,8
2C,5800.0,"[-77.0219278983, 38.896705953]",FIRST,OTHERS,191940,THEFT F/AUTO,2016-05-20T19:13:12.000Z,EVENING,2
7D,7903.0,"[-76.9708367993, 38.897920501]",FIFTH,OTHERS,191941,THEFT/OTHER,2016-05-20T19:15:05.000Z,EVENING,7
8E,9700.0,"[-76.9878509525, 38.8359005938]",SEVENTH,OTHERS,191942,THEFT/OTHER,2016-05-20T19:22:26.000Z,EVENING,8
4C,2502.0,"[-77.0253312763, 38.9368193715]",FOURTH,OTHERS,191943,THEFT F/AUTO,2016-05-20T19:25:50.000Z,EVENING,4
8C,10400.0,"[-76.9966960955, 38.8480625857]",SEVENTH,OTHERS,191944,THEFT/OTHER,2016-05-20T19:25:55.000Z,EVENING,8
5D,8904.0,"[-76.9782831051, 38.9001922297]",FIFTH,GUN,191945,ROBBERY,2016-05-20T20:04:25.000Z,EVENING,5
2C,5800.0,"[-77.0234842988, 38.897210119]",FIRST,OTHERS,191946,ROBBERY,2016-05-20T20:04:59.000Z,EVENING,2
8B,7502.0,"[-76.9730983125, 38.8619054909]",SEVENTH,OTHERS,191947,BURGLARY,2016-05-20T20:22:46.000Z,EVENING,8
5C,9400.0,"[-76.9746962133, 38.9372427684]",FIFTH,OTHERS,191948,THEFT F/AUTO,2016-05-20T20:40:29.000Z,EVENING,5
1A,2802.0,"[-77.0336967105, 38.9269448741]",THIRD,OTHERS,191949,BURGLARY,2016-05-20T20:44:14.000Z,EVENING,1
4C,2502.0,"[-77.0245935507, 38.9381527572]",FOURTH,OTHERS,191950,ROBBERY,2016-05-20T21:14:09.000Z,EVENING,4
1A,3100.0,"[-77.0241774155, 38.935504404]",FOURTH,OTHERS,191951,THEFT F/AUTO,2016-05-20T21:25:12.000Z,EVENING,1
8D,10900.0,"[-77.0017526415, 38.821631799]",SEVENTH,OTHERS,191952,THEFT F/AUTO,2016-05-20T21:25:52.000Z,EVENING,8
1B,4400.0,"[-77.0270420771, 38.9162890341]",THIRD,OTHERS,191953,BURGLARY,2016-05-20T21:41:25.000Z,EVENING,1
2B,10700.0,"[-77.039672557, 38.9031512608]",SECOND,OTHERS,191954,THEFT/OTHER,2016-05-20T22:14:08.000Z,EVENING,2
8A,7601.0,"[-76.9780503555, 38.8698249227]",SIXTH,OTHERS,191955,THEFT F/AUTO,2016-05-20T22:16:22.000Z,EVENING,8
4D,2102.0,"[-77.0186688202, 38.953170663]",FOURTH,OTHERS,191956,THEFT F/AUTO,2016-05-20T22:26:24.000Z,EVENING,4
6A,7901.0,"[-76.9804282918, 38.8967784392]",FIFTH,OTHERS,191957,BURGLARY,2016-05-20T22:32:00.000Z,EVENING,6
7D,7803.0,"[-76.9348837255, 38.8953746424]",SIXTH,OTHERS,191958,MOTOR VEHICLE THEFT,2016-05-20T22:52:20.000Z,EVENING,7
4C,2002.0,"[-77.0280957444, 38.9566279524]",FOURTH,OTHERS,191959,ROBBERY,2016-05-20T23:31:21.000Z,MIDNIGHT,4
2F,5001.0,"[-77.0307876903, 38.9118740217]",THIRD,OTHERS,191960,THEFT/OTHER,2016-05-21T00:20:39.000Z,MIDNIGHT,2
6E,4701.0,"[-77.017560644, 38.9037332121]",FIRST,OTHERS,191961,THEFT/OTHER,2016-05-21T00:23:55.000Z,MIDNIGHT,6
2F,5001.0,"[-77.0296345217, 38.9114959695]",THIRD,OTHERS,191962,THEFT F/AUTO,2016-05-21T00:51:16.000Z,MIDNIGHT,2
6D,10200.0,"[-77.0223023598, 38.8776711732]",FIRST,OTHERS,191963,THEFT/OTHER,2016-05-21T00:58:19.000Z,MIDNIGHT,6
1A,2900.0,"[-77.0291127479, 38.9325845883]",THIRD,OTHERS,191964,MOTOR VEHICLE THEFT,2016-05-21T01:03:41.000Z,MIDNIGHT,1
2F,5001.0,"[-77.0307876903, 38.9118740217]",THIRD,OTHERS,191965,THEFT F/AUTO,2016-05-21T01:30:57.000Z,MIDNIGHT,2
5E,2302.0,"[-77.0139229109, 38.9312271307]",FOURTH,OTHERS,191966,THEFT/OTHER,2016-05-21T02:07:42.000Z,MIDNIGHT,5
3F,1100.0,"[-77.0700327937, 38.9553672119]",SECOND,OTHERS,191322,THEFT/OTHER,2016-05-14T21:43:35.000Z,EVENING,3
6A,7901.0,"[-76.9829418029, 38.8947789757]",FIFTH,GUN,191323,ASSAULT W/DANGEROUS WEAPON,2016-05-14T22:08:27.000Z,EVENING,6
3C,400.0,"[-77.069763269, 38.9275317458]",SECOND,OTHERS,191324,THEFT F/AUTO,2016-05-14T22:52:28.000Z,EVENING,3
6C,10600.0,"[-76.9949642318, 38.9032659893]",FIRST,GUN,191325,ROBBERY,2016-05-14T22:55:16.000Z,EVENING,6
2B,5500.0,"[-77.0436092615, 38.9099352176]",SECOND,OTHERS,191326,THEFT/OTHER,2016-05-14T23:08:09.000Z,MIDNIGHT,2
7B,9901.0,"[-76.9569387427, 38.8712964252]",SIXTH,KNIFE,191327,ASSAULT W/DANGEROUS WEAPON,2016-05-14T23:33:21.000Z,MIDNIGHT,7
6A,8402.0,"[-76.9943649801, 38.9002031204]",FIRST,KNIFE,191328,ASSAULT W/DANGEROUS WEAPON,2016-05-15T00:38:00.000Z,MIDNIGHT,6
5B,9302.0,"[-76.9924369244, 38.9270118255]",FIFTH,OTHERS,191329,MOTOR VEHICLE THEFT,2016-05-15T00:39:20.000Z,MIDNIGHT,5
8B,7409.0,"[-76.9716411477, 38.8464646941]",SEVENTH,OTHERS,191330,THEFT F/AUTO,2016-05-15T00:47:40.000Z,MIDNIGHT,8
6D,6400.0,"[-77.011030845, 38.8746459602]",FIRST,KNIFE,191331,ASSAULT W/DANGEROUS WEAPON,2016-05-15T02:13:42.000Z,MIDNIGHT,6
6E,4901.0,"[-77.0234667971, 38.914091773]",THIRD,OTHERS,191332,THEFT F/AUTO,2016-05-15T02:26:39.000Z,MIDNIGHT,6
4B,1702.0,"[-77.0180393103, 38.9729799107]",FOURTH,OTHERS,191333,THEFT F/AUTO,2016-05-15T02:52:19.000Z,MIDNIGHT,4
2C,5800.0,"[-77.0229431149, 38.8991380163]",FIRST,OTHERS,191334,THEFT F/AUTO,2016-05-15T02:58:23.000Z,MIDNIGHT,2
7D,7803.0,"[-76.9408961786, 38.9012603013]",SIXTH,OTHERS,191335,THEFT/OTHER,2016-05-15T03:02:26.000Z,MIDNIGHT,7
5C,9102.0,"[-76.980087329, 38.9206414909]",FIFTH,OTHERS,191336,THEFT/OTHER,2016-05-15T03:22:57.000Z,MIDNIGHT,5
7E,9905.0,"[-76.9256297562, 38.881847537]",SIXTH,KNIFE,191337,ASSAULT W/DANGEROUS WEAPON,2016-05-15T03:29:30.000Z,MIDNIGHT,7
1C,3900.0,"[-77.0403078133, 38.9256358541]",THIRD,OTHERS,191338,THEFT/OTHER,2016-05-15T03:40:51.000Z,MIDNIGHT,1
7B,7603.0,"[-76.9639184788, 38.8555070332]",SIXTH,OTHERS,191339,MOTOR VEHICLE THEFT,2016-05-15T03:48:28.000Z,MIDNIGHT,7
7F,7803.0,"[-76.947655197, 38.8966602514]",SIXTH,OTHERS,191340,ROBBERY,2016-05-15T04:00:58.000Z,MIDNIGHT,7
1B,3500.0,"[-77.0253491812, 38.9222979691]",THIRD,OTHERS,191341,THEFT F/AUTO,2016-05-15T04:03:36.000Z,MIDNIGHT,1
7E,9906.0,"[-76.9388430371, 38.8890799283]",SIXTH,OTHERS,191342,MOTOR VEHICLE THEFT,2016-05-15T04:05:27.000Z,MIDNIGHT,7
2B,10700.0,"[-77.0425221176, 38.9064563241]",SECOND,OTHERS,191343,THEFT/OTHER,2016-05-15T04:12:14.000Z,MIDNIGHT,2
1B,3500.0,"[-77.0251985293, 38.9202080701]",THIRD,OTHERS,191344,THEFT F/AUTO,2016-05-15T04:36:09.000Z,MIDNIGHT,1
1B,3400.0,"[-77.0192816764, 38.9157230475]",THIRD,OTHERS,191345,ROBBERY,2016-05-15T04:41:24.000Z,MIDNIGHT,1
5C,11100.0,"[-76.9715655991, 38.9204595617]",FIFTH,KNIFE,191346,ASSAULT W/DANGEROUS WEAPON,2016-05-15T04:46:56.000Z,MIDNIGHT,5
5C,11100.0,"[-76.9673111727, 38.9189360416]",FIFTH,OTHERS,191347,THEFT F/AUTO,2016-05-15T04:50:33.000Z,MIDNIGHT,5
1B,3400.0,"[-77.0163422077, 38.9195160032]",THIRD,OTHERS,191348,THEFT/OTHER,2016-05-15T05:36:29.000Z,MIDNIGHT,1
1B,4400.0,"[-77.0254287923, 38.9191810708]",THIRD,OTHERS,191349,ROBBERY,2016-05-15T05:39:08.000Z,MIDNIGHT,1
2B,5201.0,"[-77.034994175, 38.9077830489]",SECOND,OTHERS,191350,THEFT/OTHER,2016-05-15T05:53:53.000Z,MIDNIGHT,2
1B,4400.0,"[-77.0296259629, 38.9186485906]",THIRD,OTHERS,191351,THEFT F/AUTO,2016-05-15T06:04:50.000Z,MIDNIGHT,1
1B,4400.0,"[-77.0308143859, 38.9202877991]",THIRD,OTHERS,191352,THEFT F/AUTO,2016-05-15T06:19:39.000Z,MIDNIGHT,1
2B,10700.0,"[-77.0392693797, 38.9037459485]",SECOND,KNIFE,191353,ASSAULT W/DANGEROUS WEAPON,2016-05-15T07:46:55.000Z,DAY,2
8D,10900.0,"[-77.0055183108, 38.8227487328]",SEVENTH,OTHERS,191354,THEFT F/AUTO,2016-05-15T08:11:37.000Z,DAY,8
4C,2002.0,"[-77.0287177379, 38.9540874699]",FOURTH,OTHERS,191355,THEFT F/AUTO,2016-05-15T08:16:33.000Z,DAY,4
7E,9903.0,"[-76.9257955903, 38.8886219494]",SIXTH,OTHERS,191356,THEFT F/AUTO,2016-05-15T09:48:08.000Z,DAY,7
1B,3600.0,"[-77.0270458557, 38.9262522415]",THIRD,OTHERS,191357,THEFT F/AUTO,2016-05-15T09:52:05.000Z,DAY,1
3D,901.0,"[-77.0879533673, 38.9394014311]",SECOND,OTHERS,191358,THEFT/OTHER,2016-05-15T09:59:27.000Z,DAY,3
8A,7601.0,"[-76.9860938246, 38.8688442409]",SIXTH,OTHERS,191359,THEFT/OTHER,2016-05-15T10:22:08.000Z,DAY,8
1B,4400.0,"[-77.0265234545, 38.9170008114]",THIRD,OTHERS,191360,THEFT/OTHER,2016-05-15T10:44:27.000Z,DAY,1
5C,9102.0,"[-76.9797648269, 38.9192991947]",FIFTH,OTHERS,191361,THEFT F/AUTO,2016-05-15T11:07:48.000Z,DAY,5
1B,4400.0,"[-77.0249890783, 38.914830141]",THIRD,OTHERS,191967,ROBBERY,2016-05-21T02:17:22.000Z,MIDNIGHT,1
5E,3302.0,"[-77.0090534692, 38.9122290528]",FIFTH,KNIFE,191968,ASSAULT W/DANGEROUS WEAPON,2016-05-21T02:25:02.000Z,MIDNIGHT,5
